std_smiles,heavy_atom_count,pains_alert_count,pains_alert_names,smiles,name,source_id
C[N+](C)(C)C[C@H](O)CC(=O)[O-],11.0,0.0,,C[N+](C)(C)C[C@H](O)CC(=O)[O-],L-CARNITINE,T0846
CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,26.0,0.0,,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,levobambuterol,MFCD00867036
CN1CCN(C2=Nc3ccccc3Sc3ccc(Cl)cc32)CC1,23.0,0.0,,CN1CCN(C2=Nc3ccccc3Sc3ccc(Cl)cc32)CC1,Clothiapine,BML-D108
CC1=NC(=N)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)C(c2cccc([N+](=O)[O-])c2)C1C(=O)OC(C)C,43.0,0.0,,CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1,azelnidipine,326711
Cc1cc(OCC(=O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,24.0,0.0,,Cc1cc(OCC(=O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,sobetirome,1513-033
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,17.0,0.0,,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,Hydrochlorothiazide,110973586
CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,20.0,0.0,,CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,CI994 (Tacedinaline),HY-50934
C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,28.0,0.0,,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,sparfloxacin,MFCD00869619
CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,26.0,0.0,,CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,MESORIDAZINE BESYLATE,sc-201133
O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,21.0,0.0,,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,PIPERINE,V0140
C[C@](N)(Cc1ccc(O)cc1)C(=O)O,14.0,0.0,,C[C@](N)(Cc1ccc(O)cc1)C(=O)O,L-alpha-Methyl-p-tyrosine,964517840
CC(C)[C@H](CO)Nc1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1,27.0,0.0,,CC(C)[C@H](CO)Nc1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1,purvalanol a,1580
Oc1ccc(Cl)cc1Cc1ccccc1,15.0,0.0,,Oc1ccc(Cl)cc1Cc1ccccc1,CLOROPHENE,EN300-21338
Oc1ccc(OCc2ccccc2)cc1,15.0,0.0,,Oc1ccc(OCc2ccccc2)cc1,MBEH,J91436
CN1C(C(=O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O,22.0,0.0,,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,Tenoxicam,QA-5193
CCOC(=O)C1=C(COCCN)N=C(C)C(C(=O)OC)C1c1ccccc1Cl,28.0,0.0,,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,amlodipine,STL356053
N=c1cc(N2CCCCC2)nc(N)n1O,15.0,0.0,,N=c1nc(N2CCCCC2)cc(N)n1O,Minoxidil,M4145
